,trend,total_volume,social_buzz,more_social,one_word,actual_word,actual_word_2,urban_term
1,saksutopia,0.0,0,True,True,False,False,False
2,oscars2016,0.0,9,True,True,False,False,False
5,cfdaawards,480.0,12,False,True,False,False,False
6,billboardmusicawards,1260.0,5,False,True,False,False,False
27,pregnancyfashion,120.0,233,True,True,False,False,False
28,hollywoodawards,150.0,4,False,True,False,False,False
31,maternitystyle,230.0,389,True,True,False,False,False
32,mkshanghai,110.0,0,False,True,False,False,False
35,maternityfashion,190.0,283,True,True,False,False,False
36,microdermobrasian,120.0,32,False,True,False,False,False
53,sakscanada,60.0,6,False,True,False,False,False
65,criticschoiceawards,230.0,3,False,True,False,False,False
84,mpfw,620.0,0,False,True,False,False,False
90,cannesfilmfestival,690.0,5,False,True,False,False,False
95,acmawards,4070.0,330,False,True,False,False,False
101,newyorkfashionweek,1540.0,34,False,True,False,False,False
102,burshed,330.0,0,False,True,False,False,False
106,milanfashionweek,610.0,29,False,True,False,False,False
112,cmtawards,1880.0,0,False,True,False,False,False
118,parisfashionweek,1280.0,61,False,True,False,False,False
125,trapeztaschen,570.0,0,False,True,False,False,False
133,tonyawards,3850.0,23,False,True,False,False,False
153,laminted,650.0,40,False,True,False,False,False
170,emmyawards,1310.0,0,False,True,False,False,False
184,lowlighting,530.0,0,False,True,False,False,False
217,tribecafilm,1100.0,10,False,True,False,False,False
227,pmfw,1160.0,0,False,True,False,False,False
242,fashiondiaries,1400.0,410,False,True,False,False,False
243,cmaawards,3480.0,32,False,True,False,False,False
285,cottoninc,1400.0,0,False,True,False,False,False
303,londonfashionweek,5610.0,48,False,True,False,False,False
306,criticschoice,900.0,11,False,True,False,False,False
307,styleweek,1210.0,10,False,True,False,False,False
310,lookoftheday,2030.0,606,False,True,False,False,False
333,nyfwm,7560.0,33,False,True,False,False,False
337,teenchoice,43050.0,0,False,True,False,False,False
342,styleblogger,1830.0,438,False,True,False,False,False
343,fabmom,1850.0,224,False,True,False,False,False
359,pictureoftheday,1600.0,38,False,True,False,False,False
373,latingrammy,5020.0,0,False,True,False,False,False
388,nsale,5700.0,1,False,True,False,False,False
389,metgala,76240.0,44,False,True,False,False,False
432,peopleschoiceawards,1270.0,0,False,True,False,False,False
511,bbmas,38300.0,269,False,True,False,False,False
647,mmfw,2860.0,0,False,True,False,False,False
701,instacute,1890.0,38,False,True,False,False,False
718,mtvema,62970.0,3,False,True,False,False,False
762,momtobe,3450.0,268,False,True,False,False,False
839,mommytobe,7220.0,219,False,True,False,False,False
842,hacing,5870.0,91,False,True,False,False,False
865,tokion,4760.0,13,False,True,False,False,False
977,instafashion,5900.0,1980,False,True,False,False,False
1233,aactas,1960.0,12,False,True,False,False,False
1252,d-frame,14900.0,0,False,True,False,False,False
1297,sagawards,2080.0,51,False,True,False,False,False
1367,dupioni,18800.0,16,False,True,False,False,False
1414,midkini,76100.0,1,False,True,False,False,False
1438,pashli,20100.0,1,False,True,False,False,False
1471,photooftheday,15500.0,1297,False,True,False,False,False
1485,picoftheday,23600.0,1938,False,True,False,False,False
