,trend,total_volume,social_buzz
0,duchesse satin gown,0.0,2
1,saksutopia,0.0,0
2,oscars2016,0.0,9
3,studded apparel,90.0,0
4,pompon charm,0.0,0
5,cfdaawards,480.0,12
6,billboardmusicawards,1260.0,5
7,wool crepe jacket,180.0,2
8,foil gown,280.0,0
9,loose cut trousers,100.0,0
10,color blocked shirts,230.0,0
11,lightweight knits,280.0,4
12,calf hair sandal,150.0,7
13,embossed sandals,230.0,6
14,gypsie junkies,240.0,0
15,cady gown,190.0,4
16,camouflage skinnies,130.0,0
17,levis womens denim,90.0,0
18,twill trenchcoat,120.0,0
19,stretch ankle leggings,130.0,0
20,levis womens skirts,150.0,0
21,annual tony awards,270.0,12
22,orchid lace dress,310.0,0
23,clay nose pack,130.0,0
24,mtvmovieawards,7090.0,1005
25,majolica blue dress,180.0,0
26,flared denim trousers,180.0,0
27,pregnancyfashion,120.0,233
28,hollywoodawards,150.0,4
29,embossed leather watch,110.0,0
30,teardrop scarf,170.0,0
31,maternitystyle,230.0,389
32,mkshanghai,110.0,0
33,watersnake boots,110.0,0
34,extreme spread collar dress shirt,90.0,0
35,maternityfashion,190.0,283
36,microdermobrasian,120.0,32
37,oriental cosmetic,180.0,0
38,crossover pencil skirt,200.0,0
39,mens criss cross sandals,230.0,0
40,womens cargo shirts,230.0,0
41,mask wash,180.0,0
42,leather flare jeans,40.0,0
43,embossed shoulder bag,140.0,8
44,cross back gown,370.0,0
45,full panel pants,180.0,0
46,regular fit shorts,350.0,0
47,red pashli,180.0,0
48,full panel jeans,20.0,0
49,pin charm,310.0,0
50,tonal suit,200.0,1
51,grace box bag,220.0,2
52,perforated shoulder bag,280.0,0
53,sakscanada,60.0,6
54,nubuck tote,170.0,0
55,fleece trucker,20.0,0
56,ryder bag,390.0,2
57,city sandal,950.0,29
58,liquid cushion,230.0,2
59,embossed sneakers,160.0,1
60,french terry romper,330.0,0
61,halfway updo,250.0,0
62,printed cropped leggings,430.0,0
63,red mini pashli,160.0,0
64,loss of firmness,170.0,3
65,criticschoiceawards,230.0,3
66,paisley boardshorts,190.0,1
67,twist front gown,250.0,3
68,mens link necklaces,190.0,0
