,trend,total_volume,social_buzz,normalized_volume,normalized_buzz,retail_distribution,brand
1,saksutopia,0.0,0,0.0,0.0,0,False
2,oscars2016,0.0,9,0.0,4.65988676825e-05,0,False
5,cfdaawards,480.0,12,9.25565799343e-07,6.21318235766e-05,0,False
21,annual tony awards,270.0,12,5.20630762131e-07,6.21318235766e-05,0,False
27,pregnancyfashion,120.0,233,2.31391449836e-07,0.00120639290778,0,False
28,hollywoodawards,150.0,4,2.89239312295e-07,2.07106078589e-05,0,False
31,maternitystyle,230.0,389,4.43500278852e-07,0.00201410661427,0,False
35,maternityfashion,190.0,283,3.66369795573e-07,0.00146527550601,0,False
36,microdermobrasian,120.0,32,2.31391449836e-07,0.000165684862871,0,False
53,sakscanada,60.0,6,1.15695724918e-07,3.10659117883e-05,0,False
76,eye shawdow palette,190.0,76,3.66369795573e-07,0.000393501549318,0,False
95,acmawards,4070.0,330,7.8480266736e-06,0.00170862514836,0,False
96,mtvvma,5170.0,3,9.96911496376e-06,1.55329558942e-05,0,False
106,milanfashionweek,610.0,29,1.17623987e-06,0.000150151906977,0,False
118,parisfashionweek,1280.0,61,2.46817546492e-06,0.000315836769848,0,False
217,tribecafilm,1100.0,10,2.12108829016e-06,5.17765196472e-05,0,False
236,academyawards,2760.0,4,5.32200334622e-06,2.07106078589e-05,0,False
242,fashiondiaries,1400.0,409,2.69956691475e-06,0.00211765965357,0,False
243,cmaawards,3480.0,32,6.71035204524e-06,0.000165684862871,0,False
306,criticschoice,900.0,11,1.73543587377e-06,5.69541716119e-05,0,False
307,styleweek,1210.0,10,2.33319711918e-06,5.17765196472e-05,0,False
310,lookoftheday,2030.0,606,3.91437202639e-06,0.00313765709062,0,False
333,nyfwm,7560.0,33,1.45776613397e-05,0.000170862514836,0,False
342,styleblogger,1830.0,440,3.52871961e-06,0.00227816686448,0,False
343,fabmom,1850.0,224,3.56728485164e-06,0.0011597940401,0,False
358,armparty,1640.0,82,3.16234981442e-06,0.000424567461107,0,False
359,pictureoftheday,1600.0,38,3.08521933114e-06,0.000196750774659,0,False
375,buckle pumps,1530.0,1,2.95024098541e-06,5.17765196472e-06,0,False
389,metgala,76240.0,44,0.000147010701129,0.000227816686448,0,False
511,bbmas,38300.0,269,7.38524377393e-05,0.00139278837851,0,False
630,beautyfix box,1500.0,17,2.89239312295e-06,8.80200834002e-05,0,False
650,international film festivals,4980.0,18,9.60274516819e-06,9.31977353649e-05,0,False
701,instacute,1890.0,38,3.64441533491e-06,0.000196750774659,0,False
762,momtobe,3450.0,268,6.65250418278e-06,0.00138761072654,0,False
827,streetphotography,6660.0,52,1.28422254659e-05,0.000269237902165,0,False
839,mommytobe,7220.0,219,1.39220522318e-05,0.00113390578027,0,False
865,tokion,4760.0,14,9.17852751016e-06,7.2487127506e-05,0,False
946,fashionblogger,8110.0,2204,1.56382054847e-05,0.0114115449302,0,False
977,instafashion,5900.0,1984,1.13767462836e-05,0.010272461498,0,False
1162,goldenglobe,3330.0,22,6.42111273295e-06,0.000113908343224,0,False
1210,academy of country music awards,39760.0,179,7.66677003789e-05,0.000926799701684,0,False
1233,aactas,1960.0,12,3.77939368065e-06,6.21318235766e-05,0,False
1297,sagawards,2080.0,51,4.01078513049e-06,0.000264060250201,0,False
1464,wiwt,24300.0,375,4.68567685918e-05,0.00194161948677,0,False
1471,photooftheday,15500.0,1309,2.98880622705e-05,0.00677754642181,0,False
1485,picoftheday,23600.0,1982,4.55069851344e-05,0.0102621061941,0,False
1555,littleblackdress,22700.0,43,4.37715492606e-05,0.000222639034483,0,False
1618,lipscrub,12320.0,10,2.37561888498e-05,5.17765196472e-05,0,False
1635,instadaily,14780.0,1392,2.84997135714e-05,0.00720729153489,0,False
2174,pfw,67500.0,974,0.000130157690533,0.00504303301363,0,False
2265,babybump,58400.0,324,0.000112610505587,0.00167755923657,0,False
2419,hummingboard,90200.0,78,0.000173929239793,0.000403856853248,0,False
2510,natural lipstick,49400.0,26,9.52561468491e-05,0.000134618951083,0,False
2632,instagood,57300.0,2172,0.000110489417297,0.0112458600674,0,False
2854,wiw,141200.0,535,0.000272270605974,0.00277004380112,0,False
3855,tagsforlikes,483100.0,356,0.000931543411798,0.00184324409944,0,False
3972,natural makeup,492500.0,199,0.000949669075368,0.00103035274098,0,False
5189,bgextraordinary,0.0,0,0.0,0.0,0,False
5190,aircushion pact,0.0,0,0.0,0.0,0,False
5191,tati coltier,0.0,0,0.0,0.0,0,False
5242,hanbang cosmetics,0.0,0,0.0,0.0,0,False
5257,nosebum powder,0.0,0,0.0,0.0,0,False
5260,dockers long boxer briefs,0.0,0,0.0,0.0,0,False
5273,oriental medicine cosmetic,0.0,0,0.0,0.0,0,False
5277,nordstromvan,0.0,26,0.0,0.000134618951083,0,False
5308,jinseng cream,0.0,0,0.0,0.0,0,False
5309,pregnancystyle,0.0,244,0.0,0.00126334707939,0,False
5323,bridalweek,430.0,80,8.29152695245e-07,0.000414212157177,0,False
5330,boxer braids,24500.0,104,4.72424210082e-05,0.000538475804331,0,False
5338,pregnantfashion,0.0,233,0.0,0.00120639290778,0,False
5344,nextootd,0.0,0,0.0,0.0,0,False
5346,waterblend print,0.0,0,0.0,0.0,0,False
5347,nosebum,0.0,0,0.0,0.0,0,False
5353,bridalfashionweek,150.0,957,2.89239312295e-07,0.00495501293023,0,False
5356,jinseng pack,0.0,0,0.0,0.0,0,False
5362,cfdaswarovski,0.0,0,0.0,0.0,0,False
5367,londonfashionwk,0.0,79,0.0,0.000409034505213,0,False
5404,swarovskicollective,0.0,8,0.0,4.14212157177e-05,0,False
5412,100gala,0.0,0,0.0,0.0,0,False
5456,hanbang cosmetic,0.0,0,0.0,0.0,0,False
5465,bifaawards,0.0,0,0.0,0.0,0,False
5471,bumpchic,0.0,224,0.0,0.0011597940401,0,False
5476,hanbang cream,0.0,0,0.0,0.0,0,False
5489,hanbang mask pack,0.0,0,0.0,0.0,0,False
5490,mens braided melt,0.0,0,0.0,0.0,0,False
5498,twin cake pact,0.0,0,0.0,0.0,0,False
5522,hairy givenchy bag,0.0,0,0.0,0.0,0,False
5529,oriental mask pack,0.0,0,0.0,0.0,0,False
5531,entertainment retail collaborations,0.0,0,0.0,0.0,0,False
5534,time100gala,0.0,0,0.0,0.0,0,False
5535,printed jumpuit,0.0,14,0.0,7.2487127506e-05,0,False
5540,pregnantstyle,0.0,244,0.0,0.00126334707939,0,False
5548,nordstromto,0.0,6,0.0,3.10659117883e-05,0,False
5556,cable knit nail art,0.0,0,0.0,0.0,0,False
5584,nosebum powder pact,0.0,0,0.0,0.0,0,False
5589,oriental medicine cosmetics,0.0,0,0.0,0.0,0,False
5605,black cluff links,0.0,0,0.0,0.0,0,False
5607,pinktuck blouse,0.0,2,0.0,1.03553039294e-05,0,False
5608,nordstromott,0.0,0,0.0,0.0,0,False
5611,nosebum pact,0.0,0,0.0,0.0,0,False
5620,nordstromyvr,0.0,5,0.0,2.58882598236e-05,0,False
5642,cfdanyfw,0.0,0,0.0,0.0,0,False
5649,athleta 7/8 tight,0.0,0,0.0,0.0,0,False
5651,lace vstring panties,0.0,0,0.0,0.0,0,False
