,trend,total_volume,social_buzz,normalized_volume,normalized_buzz,one_word,brand,retail_distribution
1,saksutopia,0.0,0,0.0,0.0,True,False,0
2,oscars2016,0.0,9,0.0,4.65988676825e-05,True,False,0
5189,bgextraordinary,0.0,0,0.0,0.0,True,False,0
5277,nordstromvan,0.0,26,0.0,0.000134618951083,True,False,0
5309,pregnancystyle,0.0,244,0.0,0.00126334707939,True,False,0
5338,pregnantfashion,0.0,233,0.0,0.00120639290778,True,False,0
5344,nextootd,0.0,0,0.0,0.0,True,False,0
5347,nosebum,0.0,0,0.0,0.0,True,False,0
5362,cfdaswarovski,0.0,0,0.0,0.0,True,False,0
5367,londonfashionwk,0.0,79,0.0,0.000409034505213,True,False,0
5404,swarovskicollective,0.0,8,0.0,4.14212157177e-05,True,False,0
5412,100gala,0.0,0,0.0,0.0,True,False,0
5465,bifaawards,0.0,0,0.0,0.0,True,False,0
5471,bumpchic,0.0,224,0.0,0.0011597940401,True,False,0
5534,time100gala,0.0,0,0.0,0.0,True,False,0
5540,pregnantstyle,0.0,244,0.0,0.00126334707939,True,False,0
5548,nordstromto,0.0,6,0.0,3.10659117883e-05,True,False,0
5608,nordstromott,0.0,0,0.0,0.0,True,False,0
5620,nordstromyvr,0.0,5,0.0,2.58882598236e-05,True,False,0
5642,cfdanyfw,0.0,0,0.0,0.0,True,False,0
