,trend,total_volume,social_buzz,normalized_volume,normalized_buzz,one_word,brand,retail_distribution
1,saksutopia,0.0,0,0.0,0.0,True,False,0
2,oscars2016,0.0,9,0.0,4.65988676825e-05,True,False,0
5,cfdaawards,480.0,12,9.25565799343e-07,6.21318235766e-05,True,False,0
27,pregnancyfashion,120.0,233,2.31391449836e-07,0.00120639290778,True,False,0
28,hollywoodawards,150.0,4,2.89239312295e-07,2.07106078589e-05,True,False,0
31,maternitystyle,230.0,389,4.43500278852e-07,0.00201410661427,True,False,0
32,mkshanghai,110.0,0,2.12108829016e-07,0.0,True,False,0
35,maternityfashion,190.0,283,3.66369795573e-07,0.00146527550601,True,False,0
36,microdermobrasian,120.0,32,2.31391449836e-07,0.000165684862871,True,False,0
53,sakscanada,60.0,6,1.15695724918e-07,3.10659117883e-05,True,False,0
84,mpfw,620.0,0,1.19552249082e-06,0.0,True,False,0
95,acmawards,4070.0,330,7.8480266736e-06,0.00170862514836,True,False,0
96,mtvvma,5170.0,3,9.96911496376e-06,1.55329558942e-05,True,False,0
106,milanfashionweek,610.0,29,1.17623987e-06,0.000150151906977,True,False,0
112,cmtawards,1880.0,0,3.6251327141e-06,0.0,True,False,0
118,parisfashionweek,1280.0,61,2.46817546492e-06,0.000315836769848,True,False,0
125,trapeztaschen,570.0,0,1.09910938672e-06,0.0,True,False,0
170,emmyawards,1310.0,0,2.52602332737e-06,0.0,True,False,0
217,tribecafilm,1100.0,10,2.12108829016e-06,5.17765196472e-05,True,False,0
227,pmfw,1160.0,0,2.23678401508e-06,0.0,True,False,0
236,academyawards,2760.0,4,5.32200334622e-06,2.07106078589e-05,True,False,0
242,fashiondiaries,1400.0,409,2.69956691475e-06,0.00211765965357,True,False,0
243,cmaawards,3480.0,32,6.71035204524e-06,0.000165684862871,True,False,0
306,criticschoice,900.0,11,1.73543587377e-06,5.69541716119e-05,True,False,0
307,styleweek,1210.0,10,2.33319711918e-06,5.17765196472e-05,True,False,0
310,lookoftheday,2030.0,606,3.91437202639e-06,0.00313765709062,True,False,0
333,nyfwm,7560.0,33,1.45776613397e-05,0.000170862514836,True,False,0
337,teenchoice,43050.0,0,8.30116826286e-05,0.0,True,False,0
342,styleblogger,1830.0,440,3.52871961e-06,0.00227816686448,True,False,0
343,fabmom,1850.0,224,3.56728485164e-06,0.0011597940401,True,False,0
358,armparty,1640.0,82,3.16234981442e-06,0.000424567461107,True,False,0
359,pictureoftheday,1600.0,38,3.08521933114e-06,0.000196750774659,True,False,0
373,latingrammy,5020.0,0,9.67987565147e-06,0.0,True,False,0
389,metgala,76240.0,44,0.000147010701129,0.000227816686448,True,False,0
511,bbmas,38300.0,269,7.38524377393e-05,0.00139278837851,True,False,0
647,mmfw,2860.0,0,5.51482955442e-06,0.0,True,False,0
701,instacute,1890.0,38,3.64441533491e-06,0.000196750774659,True,False,0
718,mtvema,62970.0,3,0.000121422663301,1.55329558942e-05,True,False,0
762,momtobe,3450.0,268,6.65250418278e-06,0.00138761072654,True,False,0
827,streetphotography,6660.0,52,1.28422254659e-05,0.000269237902165,True,False,0
839,mommytobe,7220.0,219,1.39220522318e-05,0.00113390578027,True,False,0
865,tokion,4760.0,14,9.17852751016e-06,7.2487127506e-05,True,False,0
946,fashionblogger,8110.0,2204,1.56382054847e-05,0.0114115449302,True,False,0
977,instafashion,5900.0,1984,1.13767462836e-05,0.010272461498,True,False,0
1162,goldenglobe,3330.0,22,6.42111273295e-06,0.000113908343224,True,False,0
1233,aactas,1960.0,12,3.77939368065e-06,6.21318235766e-05,True,False,0
1297,sagawards,2080.0,51,4.01078513049e-06,0.000264060250201,True,False,0
1381,mtvu,16600.0,0,3.20091505606e-05,0.0,True,False,0
1464,wiwt,24300.0,375,4.68567685918e-05,0.00194161948677,True,False,0
1471,photooftheday,15500.0,1309,2.98880622705e-05,0.00677754642181,True,False,0
1485,picoftheday,23600.0,1982,4.55069851344e-05,0.0102621061941,True,False,0
1555,littleblackdress,22700.0,43,4.37715492606e-05,0.000222639034483,True,False,0
1618,lipscrub,12320.0,10,2.37561888498e-05,5.17765196472e-05,True,False,0
1635,instadaily,14780.0,1392,2.84997135714e-05,0.00720729153489,True,False,0
1645,bbma,71100.0,6,0.000137099434028,3.10659117883e-05,True,False,0
1943,pandaboard,47200.0,0,9.10139702688e-05,0.0,True,False,0
1974,peopleschoice,44400.0,1,8.56148364393e-05,5.17765196472e-06,True,False,0
2174,pfw,67500.0,974,0.000130157690533,0.00504303301363,True,False,0
2248,cubeez,40900.0,0,7.88659191524e-05,0.0,True,False,0
2265,babybump,58400.0,324,0.000112610505587,0.00167755923657,True,False,0
2323,vmas,880500.0,23,0.00169783476317,0.000119085995188,True,False,0
2419,hummingboard,90200.0,78,0.000173929239793,0.000403856853248,True,False,0
2576,netduino,100700.0,0,0.000194175991654,0.0,True,False,0
2632,instagood,57300.0,2172,0.000110489417297,0.0112458600674,True,False,0
2645,aacta,21800.0,6,4.20361133868e-05,3.10659117883e-05,True,False,0
2854,wiw,141200.0,535,0.000272270605974,0.00277004380112,True,False,0
2882,udoo,143900.0,0,0.000277476913595,0.0,True,False,0
3324,kneeboard,289200.0,0,0.000557653394104,0.0,True,False,0
3470,cheilitis,263800.0,0,0.000508675537222,0.0,True,False,0
3817,teff,426500.0,2,0.000822403777958,1.03553039294e-05,True,False,0
3855,tagsforlikes,483100.0,356,0.000931543411798,0.00184324409944,True,False,0
3913,kamut,722000.0,4,0.00139220522318,2.07106078589e-05,True,False,0
4032,vma,1881000.0,19,0.00362706097618,9.83753873296e-05,True,False,0
4168,bodyboard,1195000.0,0,0.00230427318795,0.0,True,False,0
4671,glossybox,2581000.0,35,0.00497684443355,0.000181217818765,True,False,0
4711,rucksÌ_cke,2150000.0,0,0.00414576347623,0.0,True,False,0
5189,bgextraordinary,0.0,0,0.0,0.0,True,False,0
5277,nordstromvan,0.0,26,0.0,0.000134618951083,True,False,0
5309,pregnancystyle,0.0,244,0.0,0.00126334707939,True,False,0
5323,bridalweek,430.0,80,8.29152695245e-07,0.000414212157177,True,False,0
5338,pregnantfashion,0.0,233,0.0,0.00120639290778,True,False,0
5344,nextootd,0.0,0,0.0,0.0,True,False,0
5347,nosebum,0.0,0,0.0,0.0,True,False,0
5353,bridalfashionweek,150.0,957,2.89239312295e-07,0.00495501293023,True,False,0
5362,cfdaswarovski,0.0,0,0.0,0.0,True,False,0
5367,londonfashionwk,0.0,79,0.0,0.000409034505213,True,False,0
5404,swarovskicollective,0.0,8,0.0,4.14212157177e-05,True,False,0
5412,100gala,0.0,0,0.0,0.0,True,False,0
5465,bifaawards,0.0,0,0.0,0.0,True,False,0
5471,bumpchic,0.0,224,0.0,0.0011597940401,True,False,0
5534,time100gala,0.0,0,0.0,0.0,True,False,0
5540,pregnantstyle,0.0,244,0.0,0.00126334707939,True,False,0
5548,nordstromto,0.0,6,0.0,3.10659117883e-05,True,False,0
5608,nordstromott,0.0,0,0.0,0.0,True,False,0
5620,nordstromyvr,0.0,5,0.0,2.58882598236e-05,True,False,0
5642,cfdanyfw,0.0,0,0.0,0.0,True,False,0
