,trend,total_volume,social_buzz,more_social,one_word,actual_word,actual_word_2,urban_term,brand_term,retail_distribution
1,saksutopia,0.0,0,True,True,False,False,False,False,0
2,oscars2016,0.0,9,True,True,False,False,False,False,0
5,cfdaawards,480.0,12,False,True,False,False,False,False,0
27,pregnancyfashion,120.0,233,True,True,False,False,False,False,0
28,hollywoodawards,150.0,4,False,True,False,False,False,False,0
31,maternitystyle,230.0,389,True,True,False,False,False,False,0
32,mkshanghai,110.0,0,False,True,False,False,False,False,0
35,maternityfashion,190.0,283,True,True,False,False,False,False,0
36,microdermobrasian,120.0,32,False,True,False,False,False,False,0
53,sakscanada,60.0,6,False,True,False,False,False,False,0
84,mpfw,620.0,0,False,True,False,False,False,False,0
95,acmawards,4070.0,330,False,True,False,False,False,False,0
106,milanfashionweek,610.0,29,False,True,False,False,False,False,0
112,cmtawards,1880.0,0,False,True,False,False,False,False,0
118,parisfashionweek,1280.0,61,False,True,False,False,False,False,0
125,trapeztaschen,570.0,0,False,True,False,False,False,False,0
170,emmyawards,1310.0,0,False,True,False,False,False,False,0
217,tribecafilm,1100.0,10,False,True,False,False,False,False,0
227,pmfw,1160.0,0,False,True,False,False,False,False,0
242,fashiondiaries,1400.0,410,False,True,False,False,False,False,0
243,cmaawards,3480.0,32,False,True,False,False,False,False,0
306,criticschoice,900.0,11,False,True,False,False,False,False,0
307,styleweek,1210.0,10,False,True,False,False,False,False,0
310,lookoftheday,2030.0,606,False,True,False,False,False,False,0
333,nyfwm,7560.0,33,False,True,False,False,False,False,0
337,teenchoice,43050.0,0,False,True,False,False,False,False,0
342,styleblogger,1830.0,438,False,True,False,False,False,False,0
343,fabmom,1850.0,224,False,True,False,False,False,False,0
359,pictureoftheday,1600.0,38,False,True,False,False,False,False,0
373,latingrammy,5020.0,0,False,True,False,False,False,False,0
389,metgala,76240.0,44,False,True,False,False,False,False,0
511,bbmas,38300.0,269,False,True,False,False,False,False,0
647,mmfw,2860.0,0,False,True,False,False,False,False,0
701,instacute,1890.0,38,False,True,False,False,False,False,0
718,mtvema,62970.0,3,False,True,False,False,False,False,0
762,momtobe,3450.0,268,False,True,False,False,False,False,0
839,mommytobe,7220.0,219,False,True,False,False,False,False,0
865,tokion,4760.0,13,False,True,False,False,False,False,0
977,instafashion,5900.0,1980,False,True,False,False,False,False,0
1233,aactas,1960.0,12,False,True,False,False,False,False,0
1297,sagawards,2080.0,51,False,True,False,False,False,False,0
1471,photooftheday,15500.0,1297,False,True,False,False,False,False,0
1485,picoftheday,23600.0,1938,False,True,False,False,False,False,0
1618,lipscrub,12320.0,10,False,True,False,False,False,False,0
1635,instadaily,14780.0,1393,False,True,False,False,False,False,0
1645,bbma,71100.0,6,False,True,False,False,False,False,0
1943,pandaboard,47200.0,0,False,True,False,False,False,False,0
2248,cubeez,40900.0,0,False,True,False,False,False,False,0
2419,hummingboard,90200.0,76,False,True,False,False,False,False,0
2576,netduino,100700.0,0,False,True,False,False,False,False,0
2645,aacta,21800.0,6,False,True,False,False,False,False,0
2882,udoo,143900.0,0,False,True,False,False,False,False,0
3855,tagsforlikes,483100.0,355,False,True,False,False,False,False,0
3913,kamut,722000.0,4,False,True,False,False,False,False,0
4671,glossybox,2581000.0,35,False,True,False,False,False,False,0
4711,rucksÌ_cke,2150000.0,0,False,True,False,False,False,False,0
5189,bgextraordinary,0.0,0,True,True,False,False,False,False,0
5277,nordstromvan,0.0,26,True,True,False,False,False,False,0
5309,pregnancystyle,0.0,244,True,True,False,False,False,False,0
5323,bridalweek,430.0,76,False,True,False,False,False,False,0
5338,pregnantfashion,0.0,233,True,True,False,False,False,False,0
5344,nextootd,0.0,0,True,True,False,False,False,False,0
5347,nosebum,0.0,0,True,True,False,False,False,False,0
5353,bridalfashionweek,150.0,896,True,True,False,False,False,False,0
5362,cfdaswarovski,0.0,0,True,True,False,False,False,False,0
5367,londonfashionwk,0.0,79,True,True,False,False,False,False,0
5404,swarovskicollective,0.0,8,True,True,False,False,False,False,0
5412,100gala,0.0,0,True,True,False,False,False,False,0
5465,bifaawards,0.0,0,True,True,False,False,False,False,0
5471,bumpchic,0.0,224,True,True,False,False,False,False,0
5534,time100gala,0.0,0,True,True,False,False,False,False,0
5540,pregnantstyle,0.0,244,True,True,False,False,False,False,0
5548,nordstromto,0.0,6,True,True,False,False,False,False,0
5608,nordstromott,0.0,0,True,True,False,False,False,False,0
5620,nordstromyvr,0.0,5,True,True,False,False,False,False,0
5642,cfdanyfw,0.0,0,True,True,False,False,False,False,0
