,trend,total_volume,social_buzz,more_social,one_word,actual_word
1,saksutopia,0.0,0,True,True,False
2,oscars2016,0.0,9,True,True,False
5,cfdaawards,480.0,12,False,True,False
6,billboardmusicawards,1260.0,5,False,True,False
24,mtvmovieawards,7090.0,1003,False,True,False
27,pregnancyfashion,120.0,233,True,True,False
28,hollywoodawards,150.0,4,False,True,False
31,maternitystyle,230.0,389,True,True,False
32,mkshanghai,110.0,0,False,True,False
35,maternityfashion,190.0,283,True,True,False
36,microdermobrasian,120.0,32,False,True,False
53,sakscanada,60.0,6,False,True,False
65,criticschoiceawards,230.0,3,False,True,False
84,mpfw,620.0,0,False,True,False
90,cannesfilmfestival,690.0,5,False,True,False
95,acmawards,4070.0,330,False,True,False
96,mtvvma,5170.0,3,False,True,False
101,newyorkfashionweek,1540.0,34,False,True,False
102,burshed,330.0,0,False,True,False
106,milanfashionweek,610.0,29,False,True,False
112,cmtawards,1880.0,0,False,True,False
118,parisfashionweek,1280.0,61,False,True,False
125,trapeztaschen,570.0,0,False,True,False
133,tonyawards,3850.0,23,False,True,False
153,laminted,650.0,40,False,True,False
170,emmyawards,1310.0,0,False,True,False
184,lowlighting,530.0,0,False,True,False
217,tribecafilm,1100.0,10,False,True,False
227,pmfw,1160.0,0,False,True,False
236,academyawards,2760.0,4,False,True,False
242,fashiondiaries,1400.0,410,False,True,False
243,cmaawards,3480.0,32,False,True,False
248,teenchoiceawards,22320.0,0,False,True,False
285,cottoninc,1400.0,0,False,True,False
303,londonfashionweek,5610.0,48,False,True,False
306,criticschoice,900.0,11,False,True,False
307,styleweek,1210.0,10,False,True,False
310,lookoftheday,2030.0,606,False,True,False
333,nyfwm,7560.0,33,False,True,False
337,teenchoice,43050.0,0,False,True,False
342,styleblogger,1830.0,438,False,True,False
343,fabmom,1850.0,224,False,True,False
358,armparty,1640.0,81,False,True,False
359,pictureoftheday,1600.0,38,False,True,False
373,latingrammy,5020.0,0,False,True,False
388,nsale,5700.0,1,False,True,False
389,metgala,76240.0,44,False,True,False
432,peopleschoiceawards,1270.0,0,False,True,False
511,bbmas,38300.0,269,False,True,False
573,tylie,3470.0,0,False,True,False
610,leopardprint,3170.0,27,False,True,False
647,mmfw,2860.0,0,False,True,False
676,betawards,31550.0,1,False,True,False
701,instacute,1890.0,38,False,True,False
718,mtvema,62970.0,3,False,True,False
762,momtobe,3450.0,268,False,True,False
827,streetphotography,6660.0,52,False,True,False
836,glitten,3980.0,1942,False,True,False
839,mommytobe,7220.0,219,False,True,False
842,hacing,5870.0,91,False,True,False
865,tokion,4760.0,13,False,True,False
873,crowsfeet,5410.0,1,False,True,False
946,fashionblogger,8110.0,2199,False,True,False
977,instafashion,5900.0,1980,False,True,False
1072,armcandy,10960.0,157,False,True,False
1162,goldenglobe,3330.0,22,False,True,False
1233,aactas,1960.0,12,False,True,False
1252,d-frame,14900.0,0,False,True,False
1297,sagawards,2080.0,51,False,True,False
1367,dupioni,18800.0,16,False,True,False
1381,mtvu,16600.0,0,False,True,False
1414,midkini,76100.0,1,False,True,False
1438,pashli,20100.0,1,False,True,False
1464,wiwt,24300.0,375,False,True,False
1471,photooftheday,15500.0,1297,False,True,False
1485,picoftheday,23600.0,1938,False,True,False
1492,pouchette,13580.0,9,False,True,False
1555,littleblackdress,22700.0,42,False,True,False
1591,neutrals,18400.0,1187,False,True,False
1618,lipscrub,12320.0,10,False,True,False
1630,lowlight,17600.0,25,False,True,False
1635,instadaily,14780.0,1393,False,True,False
1645,bbma,71100.0,6,False,True,False
1649,rashies,12020.0,61,False,True,False
1664,baftas,135200.0,78,False,True,False
1753,goldenglobes,3890.0,21,False,True,False
1759,cutoffs,28800.0,236,False,True,False
1766,minimizing,25400.0,65,False,True,False
1792,v-necks,36900.0,0,False,True,False
1802,wrislet,20000.0,84,False,True,False
1870,basketweave,22300.0,36,False,True,False
1889,accentuating,31100.0,19,False,True,False
1917,monocles,38300.0,17,False,True,False
1943,pandaboard,47200.0,0,False,True,False
1956,nyfw,197800.0,968,False,True,False
1964,sleepshirts,21900.0,4,False,True,False
1974,peopleschoice,44400.0,1,False,True,False
2003,shortalls,119800.0,15,False,True,False
2021,lfw,83200.0,849,False,True,False
2122,headpieces,80900.0,365,False,True,False
2167,sweatshorts,76700.0,165,False,True,False
2174,pfw,67500.0,973,False,True,False
2241,up-dos,77100.0,0,False,True,False
2248,cubeez,40900.0,0,False,True,False
2250,shortboard,90400.0,3,False,True,False
2265,babybump,58400.0,324,False,True,False
2272,lasercut,52400.0,46,False,True,False
2288,shantung,77400.0,33,False,True,False
2323,vmas,880500.0,22,False,True,False
2339,luminizer,50600.0,42,False,True,False
2381,espys,649100.0,0,False,True,False
2393,tolani,111100.0,159,False,True,False
2406,waterski,101100.0,4,False,True,False
2411,broga,96700.0,1,False,True,False
2419,hummingboard,90200.0,76,False,True,False
2528,balconette,90900.0,62,False,True,False
2535,cmts,108400.0,0,False,True,False
2540,uffie,96300.0,5,False,True,False
2576,netduino,100700.0,0,False,True,False
2578,pastelle,57500.0,47,False,True,False
2585,draping,96300.0,1082,False,True,False
2592,fatigues,78600.0,231,False,True,False
2593,knits,80700.0,412,False,True,False
2598,charmeuse,92700.0,40,False,True,False
2600,skimmers,96300.0,33,False,True,False
2632,instagood,57300.0,2166,False,True,False
2645,aacta,21800.0,6,False,True,False
2653,pcas,86400.0,0,False,True,False
2671,d'orsay,144900.0,81,False,True,False
2720,shirtdress,183200.0,259,False,True,False
2752,cheekies,81900.0,7,False,True,False
2764,zerogrand,67200.0,27,False,True,False
2801,flatforms,205900.0,193,False,True,False
2809,igers,136800.0,254,False,True,False
2816,streetstyle,107900.0,4113,False,True,False
2830,matelasse,179900.0,54,False,True,False
2849,turbans,127000.0,73,False,True,False
2854,wiw,141200.0,535,False,True,False
2864,fransen,184600.0,55,False,True,False
2865,headscarf,116300.0,33,False,True,False
2882,udoo,143900.0,0,False,True,False
2915,ripstop,152000.0,41,False,True,False
2924,balding,124300.0,37,False,True,False
2936,minaudiere,142800.0,46,False,True,False
2955,lunargrand,134600.0,0,False,True,False
2960,highlighting,121700.0,513,False,True,False
2965,felle,105600.0,1,False,True,False
2980,bnwt,119500.0,0,False,True,False
3032,athleisure,117200.0,653,False,True,False
3042,handwarmer,56700.0,0,False,True,False
3050,emmys,784800.0,82,False,True,False
3101,coatigan,116600.0,4,False,True,False
3117,concho,146600.0,100,False,True,False
3141,followme,157900.0,425,False,True,False
3195,candelabras,225300.0,30,False,True,False
3197,cmas,280000.0,9,False,True,False
3203,embellishments,257500.0,389,False,True,False
3254,sunspots,227800.0,14,False,True,False
3271,wingtip,180100.0,98,False,True,False
3295,tsovet,149900.0,14,False,True,False
3310,meggings,167900.0,1,False,True,False
3323,paddleboard,365500.0,45,False,True,False
3324,kneeboard,289200.0,0,False,True,False
3327,fringes,245000.0,560,False,True,False
3328,headwrap,168100.0,42,False,True,False
3349,blemishes,231900.0,194,False,True,False
3360,brits,276400.0,74,False,True,False
3384,miraclesuit,515700.0,67,False,True,False
3386,detangler,200700.0,87,False,True,False
