,trend,total_volume,social_buzz,retail_distribution
5412,100gala,0.0,0,0
5190,aircushion pact,0.0,0,0
5344,nextootd,0.0,0,0
5346,waterblend print,0.0,0,0
5347,nosebum,0.0,0,0
5450,watersnake booties,0.0,0,0
5642,cfdanyfw,0.0,0,0
5356,jinseng pack,0.0,0,0
5191,tati coltier,0.0,0,0
5362,cfdaswarovski,0.0,0,0
5189,bgextraordinary,0.0,0,0
5498,twin cake pact,0.0,0,0
1,saksutopia,0.0,0,0
5490,mens braided melt,0.0,0,0
5489,hanbang mask pack,0.0,0,0
5534,time100gala,0.0,0,0
5531,entertainment retail collaborations,0.0,0,0
5529,oriental mask pack,0.0,0,0
5608,nordstromott,0.0,0,0
5611,nosebum pact,0.0,0,0
5522,hairy givenchy bag,0.0,0,0
5649,athleta 7/8 tight,0.0,0,0
5605,black cluff links,0.0,0,0
5651,lace vstring panties,0.0,0,0
5589,oriental medicine cosmetics,0.0,0,0
5584,nosebum powder pact,0.0,0,0
5556,cable knit nail art,0.0,0,0
114,kabocha chips,350.0,0,0
61,halfway updo,250.0,0,0
201,cc pact,270.0,0,0
5456,hanbang cosmetic,0.0,0,0
5465,bifaawards,0.0,0,0
5476,hanbang cream,0.0,0,0
94,bolwing bag,200.0,0,0
5308,jinseng cream,0.0,0,0
32,mkshanghai,110.0,0,0
5257,nosebum powder,0.0,0,0
5260,dockers long boxer briefs,0.0,0,0
5242,hanbang cosmetics,0.0,0,0
5273,oriental medicine cosmetic,0.0,0,0
5521,bow blouse shirtdress,0.0,0,1
87,dried honeydew,220.0,0,2
5266,oriental medicine cream,0.0,0,2
23,clay nose pack,130.0,0,2
5527,trekkie pants,0.0,0,2
5398,mens thermore vest,0.0,0,2
105,charcoal blotting paper,200.0,0,3
5591,mens fleece trucker,0.0,0,3
262,puff bag charm,160.0,0,3
14,gypsie junkies,240.0,0,3
116,macbook pro 11 sleeve,40.0,0,3
247,fuzzy bag charm,160.0,0,3
5515,geneva waves watch,0.0,0,3
5265,thermore vest,0.0,0,4
33,watersnake boots,110.0,0,4
30,teardrop scarf,170.0,0,5
4,pompon charm,0.0,0,5
5569,cutoff cuff bracelet,0.0,0,6
102,burshed,330.0,0,6
5495,cherry red sequin,0.0,0,7
5624,cashmere bag charm,0.0,0,7
5558,watersnake flats,0.0,0,8
5423,mens pin stripe socks,0.0,0,9
5210,parsons wall mirror,350.0,0,9
158,levis lace up boots,360.0,0,10
5259,roundneck coat,0.0,0,10
5306,athleta asana,330.0,0,10
5632,belted sneakers,0.0,0,10
5313,uptown lips,0.0,0,10
5300,colorblocked mirror,0.0,0,10
5385,baked pop chips,0.0,0,11
70,tangerine lace dress,300.0,0,11
5644,blemish control paper,0.0,0,11
89,mens star of david necklaces,140.0,0,11
55,fleece trucker,20.0,0,11
5217,cherry red lace dress,0.0,0,11
173,mcm bag charms,360.0,0,12
37,oriental cosmetic,180.0,0,12
25,majolica blue dress,180.0,0,12
5248,bow blouse dress,0.0,0,12
20,levis womens skirts,150.0,0,12
63,red mini pashli,160.0,0,12
5335,levis womens skirt,0.0,0,12
104,cable knit nail,80.0,0,12
5193,terra cotta cheeks,0.0,0,13
5373,terra cotta cheek,0.0,0,13
38,crossover pencil skirt,200.0,0,14
138,calf hair gloves,170.0,0,14
74,501 skinny,230.0,0,14
5512,dolman gown,0.0,0,15
120,burberry bag charms,290.0,0,15
5641,dockers blazers,280.0,0,15
129,patchwork booties,270.0,0,16
5351,cowlneck gown,0.0,0,16
60,french terry romper,330.0,0,17
47,red pashli,180.0,0,18
92,colorblock booties,220.0,0,18
5310,fastest track top,0.0,0,19
115,leather pouchette,230.0,0,20
5220,revelation pant,220.0,0,20
5358,mixed media satchel,0.0,0,20
5598,tech camera bag,0.0,0,20
5447,sonar pant,0.0,0,22
5316,asana top,0.0,0,22
3,studded apparel,90.0,0,22
171,velour sneakers,270.0,0,23
5599,levis womens dresses,0.0,0,25
5580,metro pant,310.0,0,27
308,initial bag charms,180.0,0,27
5623,patent gown,0.0,0,27
230,palm warmer,330.0,0,28
5383,mixed media shoulder bag,0.0,0,29
5251,pin bag charm,0.0,0,29
54,nubuck tote,170.0,0,29
82,wool crepe coat,230.0,0,30
16,camouflage skinnies,130.0,0,31
