trend,january,february,march,april,may,june,july,august,september,october,november,december,,new_tags_taxonomy,shopstyle_taxonomy
duchesse satin gown,0,0,0,0,0,0,0,0,0,0,0,,,,women.womens_clothes.dresses.evening_dresses
saksutopia,0,0,0,0,0,0,0,0,0,0,0,,,,
oscars2016,0,0,0,0,0,0,0,0,0,0,0,,,,
studded apparel,10,10,10,10,0,10,10,10,10,10,0,,,,women.womens_clothes
pompon charm,0,0,0,0,0,0,0,0,0,0,0,,,,women
cfdaawards,10,10,10,10,390,10,10,10,10,10,0,,,Events - Red Carpet Hashtags,
billboardmusicawards,10,10,140,1000,30,20,10,10,10,10,10,,,Events - Red Carpet Hashtags,
wool crepe jacket,10,20,20,20,20,10,10,30,20,10,10,,,,women.womens_clothes.jackets
foil gown,140,50,10,10,10,10,10,10,10,10,10,,,,women.womens_clothes.dresses.evening_dresses
loose cut trousers,0,0,20,10,10,10,10,10,10,10,10,,,,women.womens_clothes.womens_pants
color blocked shirts,20,40,20,30,10,20,20,10,30,20,10,,,,men.mens_clothes.mens_shirts
lightweight knits,20,40,40,20,20,20,20,40,20,30,10,,,,women.womens_clothes
calf hair sandal,0,0,0,20,10,40,10,30,10,20,10,,,,women.womens_shoes.sandals
embossed sandals,20,40,20,40,50,10,10,10,10,10,10,,,,women.womens_shoes.sandals
gypsie junkies,30,30,40,20,10,20,20,20,20,20,10,,,,women
cady gown,30,50,10,10,10,20,20,10,10,10,10,,,,women.womens_clothes.dresses.evening_dresses
camouflage skinnies,10,20,10,10,20,10,10,0,10,20,10,,,,women.womens_clothes.jeans.skinny_jeans
levis womens denim,0,0,0,0,0,0,0,40,30,10,10,,,,women.womens_clothes
twill trenchcoat,10,20,10,10,10,10,10,10,10,10,10,,,,women.womens_clothes.womens_outerwear.raincoats_and_trenchcoats
stretch ankle leggings,20,20,10,10,10,10,10,10,10,10,10,,,,women.womens_clothes
levis womens skirts,10,10,10,10,10,10,10,10,50,10,10,,,,women.womens_clothes.skirts
annual tony awards,30,30,10,10,110,20,20,10,10,10,10,,,,
orchid lace dress,20,40,30,30,30,50,30,30,10,30,10,,,,women.womens_clothes.dresses
clay nose pack,10,10,10,10,10,10,10,10,10,30,10,,,Beauty - Korean,women.womens_beauty.skin_care.face_care
mtvmovieawards,70,1300,5400,110,50,40,50,30,20,10,10,,,Events - Red Carpet Hashtags,
majolica blue dress,10,20,10,10,20,40,20,20,10,10,10,,,,women.womens_clothes.dresses
flared denim trousers,0,30,40,20,10,10,10,20,10,20,10,,,,women.womens_clothes.jeans.flare_jeans
pregnancyfashion,10,10,20,10,10,10,10,10,10,10,10,,,Maternity Hashtags,
hollywoodawards,10,10,10,10,20,10,10,10,10,40,10,,,Events - Red Carpet Hashtags,
embossed leather watch,10,10,10,10,0,10,10,10,10,20,10,,,,women.womens_clothes.jewelry.watches
teardrop scarf,20,10,10,10,10,10,20,30,30,10,10,,,Cold Weather Accessories - Scarves: Classification,
maternitystyle,20,10,10,50,30,20,20,20,20,20,10,,,Maternity Hashtags,
mkshanghai,10,10,10,10,10,10,10,10,10,10,10,,,,
watersnake boots,10,10,10,10,10,0,20,10,10,10,10,,,,women
extreme spread collar dress shirt,0,10,10,0,10,10,10,10,10,10,10,,,,men.mens_clothes.mens_shirts.mens_dress_shirts
maternityfashion,10,20,30,20,10,20,20,20,20,10,10,,,Maternity Hashtags,
microdermobrasian,10,10,20,10,10,10,10,10,10,10,10,,,,
oriental cosmetic,20,30,20,20,10,10,20,10,20,10,10,,,,women
crossover pencil skirt,0,0,10,50,40,20,20,10,10,30,10,,,,women.womens_clothes.skirts
mens criss cross sandals,20,20,30,30,30,20,30,10,20,10,10,,,,women.womens_shoes.sandals
womens cargo shirts,40,30,30,20,30,20,10,10,20,10,10,,,,women.womens_clothes
mask wash,20,10,20,10,10,20,20,10,30,20,10,,,,women.womens_beauty.skin_care.face_care.face_masks
leather flare jeans,0,0,0,0,0,0,0,0,0,30,10,,,,women.womens_clothes.jeans.flare_jeans
embossed shoulder bag,10,20,10,10,10,10,20,10,10,20,10,,,,women.handbags.shoulder_bags
cross back gown,70,70,30,40,20,20,20,20,20,40,20,,,,women.womens_clothes.dresses
full panel pants,20,20,10,10,20,20,10,10,20,20,20,,,,women.womens_clothes
regular fit shorts,10,30,20,70,70,30,40,20,10,30,20,,,,women.womens_clothes.shorts
red pashli,20,10,20,10,20,10,30,20,10,10,20,,,,women.handbags.satchels
full panel jeans,0,0,0,0,0,0,0,0,0,0,20,,,,women.womens_clothes
pin charm,20,40,30,40,30,20,20,30,40,20,20,,,,women.womens_clothes.jewelry.charms
tonal suit,10,20,20,10,10,10,20,10,20,50,20,,,,men.mens_clothes.mens_suits
grace box bag,10,10,30,20,20,10,30,40,20,10,20,,,,women.handbags
perforated shoulder bag,20,20,40,50,50,10,10,20,20,20,20,,,,women.handbags.shoulder_bags
sakscanada,0,0,0,0,0,0,0,0,20,20,20,,,,
nubuck tote,20,20,10,20,10,10,20,20,10,10,20,,,,women.handbags.tote_bags
fleece trucker,0,0,0,0,0,0,0,0,0,0,20,,,,
ryder bag,30,50,40,50,30,40,30,30,30,40,20,,,,women.handbags
city sandal,70,110,170,210,110,110,90,30,10,20,20,,,,women.womens_shoes.sandals
liquid cushion,10,30,20,20,20,20,30,20,20,20,20,,,Beauty - Korean,women.womens_beauty.makeup
embossed sneakers,10,10,20,30,20,10,10,10,10,10,20,,,,women.womens_shoes.womens_sneakers
french terry romper,30,30,30,50,50,40,40,20,10,10,20,,,,kids_and_baby.kids_and_baby_clothing
halfway updo,10,10,10,10,30,30,20,50,30,30,20,,,,
printed cropped leggings,30,20,50,40,50,110,30,30,20,30,20,,,,women.womens_clothes
red mini pashli,20,20,10,10,10,10,10,30,10,10,20,,,,women.handbags.satchels
loss of firmness,10,10,20,20,10,20,10,20,10,20,20,,,,women.womens_beauty.skin_care
criticschoiceawards,10,10,10,90,40,10,10,10,10,10,20,,,Events - Red Carpet Hashtags,
paisley boardshorts,20,20,20,20,20,20,20,10,10,10,20,,,,
twist front gown,10,70,10,30,10,20,10,10,10,50,20,,,,women.womens_clothes.dresses.evening_dresses
mens link necklaces,20,10,20,40,10,10,10,30,10,10,20,,,,men.mens_clothes.mens_watches_and_jewelry.mens_jewelry
mens chains bracelets,40,10,20,20,10,20,30,20,20,10,20,,,,men.mens_clothes.mens_watches_and_jewelry.mens_jewelry
tangerine lace dress,30,70,40,30,10,20,30,20,10,20,20,,,,women.womens_clothes.dresses
oriental cosmetics,40,50,40,70,70,70,30,50,40,40,20,,,,women
mens zipper coat,0,0,0,0,0,0,0,0,0,0,20,,,,men.mens_clothes
knit shirtdress,20,50,30,50,10,30,90,20,20,40,30,,,,women.womens_clothes.dresses.day_dresses
501 skinny,20,30,10,20,20,20,20,20,20,20,30,,,,
azure lace dress,70,70,70,20,40,30,30,10,10,10,30,,,,women.womens_clothes.dresses
eye shawdow palette,10,10,20,10,10,10,10,30,20,30,30,,,,
sculpted dress,30,50,40,30,40,20,40,50,20,50,30,,,,women.womens_clothes.dresses
5 swim trunks,140,170,210,210,210,210,110,50,20,20,30,,,,kids_and_baby.kids_and_baby_clothing.boys.boys_swimsuits
chain flats,30,30,50,30,20,40,50,10,30,40,30,,,,women.womens_shoes.flats
python print top,40,50,40,40,30,30,40,70,90,30,30,,,Tops - Prints,women.womens_clothes.womens_tops
leather top handle,0,0,10,50,20,20,10,20,10,10,30,,,,women.handbags
wool crepe coat,10,20,40,10,10,10,20,30,30,20,30,,,,women.womens_clothes.womens_outerwear.wool_coats
column midi dress,40,50,50,20,30,70,20,10,30,30,30,,,,women.womens_clothes.dresses
mpfw,40,70,50,90,70,70,40,70,50,40,30,,,,
mens bit drivers,0,0,70,30,20,40,10,20,20,40,30,,,,men.mens_shoes.mens_slip_ons_shoes
sapphire lace dress,70,70,50,30,10,20,50,20,40,20,30,,,,women.womens_clothes.dresses
dried honeydew,20,20,20,20,20,10,20,20,20,20,30,,,Health Snacks - Dried Fruits,living
womens pocket shirts,30,40,40,40,30,30,50,50,70,50,30,,,,women.womens_clothes.womens_tops
mens star of david necklaces,10,10,10,10,10,10,20,10,10,10,30,,,,
cannesfilmfestival,70,50,90,320,40,30,10,20,20,10,30,,,Events - Red Carpet Hashtags,
pillow glasses,20,30,30,10,10,50,40,30,30,30,30,,,Eyewear - Silhouette,living.accents.decorative_pillows
colorblock booties,20,20,10,0,10,10,20,40,40,20,30,,,,women.womens_shoes.boots
cross back bathing suit,30,90,90,170,110,110,110,20,40,10,30,,,,women.womens_clothes.swimsuits
bolwing bag,30,20,10,10,20,10,20,20,10,20,30,,,,
acmawards,110,140,3600,50,20,30,20,20,20,30,30,,,Events - Red Carpet Hashtags,
mtvvma,30,10,20,10,30,260,3600,720,390,70,30,,,Events - Red Carpet Hashtags,
charmeuse pants,70,70,50,50,20,50,20,30,10,40,30,,,,women.womens_clothes.womens_pants
woven romper,30,50,110,140,140,140,170,170,20,20,30,,,,women.womens_clothes.shorts
satchel messenger bags,70,40,10,50,50,50,110,50,70,20,30,,,,women.handbags.satchels
woven jumpsuit,70,30,40,40,70,50,30,30,30,30,30,,,,women.womens_clothes.womens_pants
newyorkfashionweek,480,40,40,30,50,70,90,590,70,50,30,,,,
burshed,30,20,40,30,20,30,30,20,40,40,30,,,Trends - Fabric,
mens jersey tee,20,30,10,20,20,10,30,10,30,50,30,,,,men.mens_clothes.mens_shirts.mens_tees_and_tshirts
cable knit nail,0,0,0,0,0,0,0,0,0,50,30,,,,women.womens_clothes.sweaters
charcoal blotting paper,0,0,0,0,0,20,30,20,50,50,30,,,,women.womens_beauty
milanfashionweek,140,50,20,10,50,10,30,210,40,20,30,,,,
petites top,10,20,10,10,10,20,10,20,10,70,30,,,,women.womens_clothes.petites.petite_tops
drape back gown,40,50,20,20,10,10,30,30,40,50,30,,,,women.womens_clothes.dresses
petite ankle leggings,40,20,50,10,30,20,30,20,50,50,40,,,,women.womens_clothes.petites
mens linen sweater,40,70,170,110,170,30,40,110,50,110,40,,,,men.mens_clothes.mens_sweaters
yoke pants,50,50,70,50,30,50,40,30,50,70,40,,,Pants - Silhouette,women.womens_clothes.womens_pants
cmtawards,20,20,110,110,1300,50,40,30,20,140,40,,,Events - Red Carpet Hashtags,
mid city tote,70,90,90,50,40,30,20,40,20,50,40,,,,women.handbags.tote_bags
kabocha chips,20,20,30,30,10,20,20,20,70,70,40,,,Health Snacks - Chips,
leather pouchette,30,30,10,20,10,10,20,20,20,20,40,,,,women.handbags.shoulder_bags
macbook pro 11 sleeve,0,0,0,0,0,0,0,0,0,0,40,,,,
mens low top,40,70,90,50,30,30,70,30,40,50,40,,,Mens - Sneakers,men.mens_clothes.mens_shirts
parisfashionweek,110,260,50,50,70,90,70,210,260,70,40,,,,
levis mens denim,20,10,10,20,20,10,10,20,10,10,40,,,,men.mens_clothes
burberry bag charms,20,30,20,20,20,30,30,30,10,40,40,,,,women
print sandals,70,140,260,260,320,90,70,70,30,20,40,,,Shoes - Sandals: Embellishment,women.womens_shoes.sandals
mens classic pants,0,0,0,0,10,10,30,30,30,40,40,,,Mens - Casual Pants: Silhouette,men.mens_clothes.mens_pants
twin cake powder,40,30,50,30,50,30,40,40,50,10,40,,,,
cage pump,30,50,50,20,20,20,20,50,50,30,40,,,,women.womens_shoes.pumps
trapeztaschen,90,90,50,50,50,30,50,50,40,30,40,,,,
full panel leggings,30,10,10,10,10,20,20,30,30,50,40,,,,women.womens_clothes.womens_pants.leggings
faille gown,20,30,30,30,10,10,30,70,30,40,40,,,,women.womens_clothes.dresses.evening_dresses
crocodile flats,40,30,50,20,30,40,20,30,50,70,40,,,,women.womens_shoes.flats
patchwork booties,0,0,0,0,0,0,0,70,70,90,40,,,,women
crocodile embossed bag,0,0,0,0,0,0,0,0,0,30,40,,,,women.handbags
mens tech bag,30,30,10,40,20,40,40,30,30,40,40,,,,men.mens_bags
paperbag waist skirt,50,90,90,70,70,50,70,50,30,50,40,,,,kids_and_baby.kids_and_baby_clothing.girls.girls_skirts
tonyawards,90,90,480,260,2400,110,90,90,110,90,40,,,Events - Red Carpet Hashtags,
radiant orchid lipstick,110,90,70,70,50,40,40,40,30,20,40,,,,women.womens_beauty.makeup
color blocked jacket,10,30,10,10,10,10,10,10,40,70,40,,,,women.womens_clothes.jackets
mens rose gold necklaces,40,20,40,30,30,30,50,40,30,20,40,,,,women.womens_clothes.jewelry
chained bracelet,20,20,20,20,40,10,10,10,20,20,40,,,,women.womens_clothes.jewelry.bracelets
calf hair gloves,20,10,10,0,10,10,10,10,30,20,40,,,Cold Weather Accessories - Gloves: Material,women.womens_clothes.womens_accessories.gloves
woven satchel,70,90,70,90,50,70,50,90,70,90,40,,,,women.handbags.satchels
7 swim trunks,110,110,110,210,170,110,90,20,30,20,40,,,,kids_and_baby.kids_and_baby_clothing.boys.boys_swimsuits
jersey sneakers,40,50,140,110,70,70,90,70,40,70,50,,,Shoes - Sneakers: Materials,women.womens_shoes.womens_sneakers
funnel collar jacket,20,20,30,30,20,10,30,40,70,50,50,,,,women.womens_clothes.jackets
