,trend,total_volume,social_buzz,retail_distribution
1,saksutopia,0.0,0,0
5189,bgextraordinary,0.0,0,0
5190,aircushion pact,0.0,0,0
5191,tati coltier,0.0,0,0
5242,hanbang cosmetics,0.0,0,0
5257,nosebum powder,0.0,0,0
5260,dockers long boxer briefs,0.0,0,0
5273,oriental medicine cosmetic,0.0,0,0
5308,jinseng cream,0.0,0,0
5344,nextootd,0.0,0,0
5346,waterblend print,0.0,0,0
5347,nosebum,0.0,0,0
5356,jinseng pack,0.0,0,0
5362,cfdaswarovski,0.0,0,0
5412,100gala,0.0,0,0
5456,hanbang cosmetic,0.0,0,0
5465,bifaawards,0.0,0,0
5476,hanbang cream,0.0,0,0
5489,hanbang mask pack,0.0,0,0
5490,mens braided melt,0.0,0,0
5498,twin cake pact,0.0,0,0
5522,hairy givenchy bag,0.0,0,0
5529,oriental mask pack,0.0,0,0
5531,entertainment retail collaborations,0.0,0,0
5534,time100gala,0.0,0,0
5556,cable knit nail art,0.0,0,0
5584,nosebum powder pact,0.0,0,0
5589,oriental medicine cosmetics,0.0,0,0
5605,black cluff links,0.0,0,0
5608,nordstromott,0.0,0,0
5611,nosebum pact,0.0,0,0
5642,cfdanyfw,0.0,0,0
5649,athleta 7/8 tight,0.0,0,0
5651,lace vstring panties,0.0,0,0
