,trend,total_volume,social_buzz,retail_distribution
0,duchesse satin gown,0.0,2,22
1,saksutopia,0.0,0,0
2,oscars2016,0.0,9,0
3,studded apparel,90.0,0,21
4,pompon charm,0.0,0,5
5,cfdaawards,480.0,12,0
6,billboardmusicawards,1260.0,5,0
7,wool crepe jacket,180.0,2,510
8,foil gown,280.0,0,39
9,loose cut trousers,100.0,0,391
10,color blocked shirts,230.0,0,1404
11,lightweight knits,280.0,4,29416
12,calf hair sandal,150.0,7,388
13,embossed sandals,230.0,8,3485
14,gypsie junkies,240.0,0,3
15,cady gown,190.0,4,99
16,camouflage skinnies,130.0,0,32
17,levis womens denim,90.0,0,655
18,twill trenchcoat,120.0,0,171
19,stretch ankle leggings,130.0,0,603
20,levis womens skirts,150.0,0,14
21,annual tony awards,270.0,12,0
22,orchid lace dress,310.0,0,51
23,clay nose pack,130.0,0,2
24,mtvmovieawards,7090.0,1006,0
25,majolica blue dress,180.0,0,13
26,flared denim trousers,180.0,0,252
27,pregnancyfashion,120.0,233,0
28,hollywoodawards,150.0,4,0
29,embossed leather watch,110.0,0,999
30,teardrop scarf,170.0,0,5
31,maternitystyle,230.0,389,0
32,mkshanghai,110.0,0,0
33,watersnake boots,110.0,0,5
34,extreme spread collar dress shirt,90.0,0,49
35,maternityfashion,190.0,283,0
36,microdermobrasian,120.0,33,0
37,oriental cosmetic,180.0,0,12
38,crossover pencil skirt,200.0,0,12
39,mens criss cross sandals,230.0,0,62
40,womens cargo shirts,230.0,0,160
41,mask wash,180.0,0,96
42,leather flare jeans,40.0,0,123
43,embossed shoulder bag,140.0,8,2587
44,cross back gown,370.0,0,169
45,full panel pants,180.0,0,248
46,regular fit shorts,350.0,0,4466
47,red pashli,180.0,0,19
48,full panel jeans,20.0,0,127
49,pin charm,310.0,0,42
50,tonal suit,200.0,1,437
51,grace box bag,220.0,2,78
52,perforated shoulder bag,280.0,0,513
53,sakscanada,60.0,6,0
54,nubuck tote,170.0,0,31
55,fleece trucker,20.0,0,11
56,ryder bag,390.0,2,35
57,city sandal,950.0,37,816
